Reference Year,Local government,Waste & Resource Recovery Group (WRRG),Annual tonnes Collected,Annual tonnes Collected.1,Annual tonnes  Processed / sorted,Annual tonnes Collected.2,Annual tonnes  Processed,Total Annual tonnes Collected,Total Annual Tonnes Processed / sorted
2014-2015,Maroondah City Council,Metropolitan ," 20,147 "," 11,915 "," 10,417 "," 12,994 "," 12,994 "," 45,056 "," 23,411 "
2014-2015,Melbourne City Council,Metropolitan ," 26,418 "," 7,894 "," 7,081 ", 51 , 51 ," 34,363 "," 7,132 "
2014-2015,Melton Shire Council,Metropolitan ," 23,518 "," 11,382 "," 10,586 "," 6,424 "," 6,279 "," 41,324 "," 16,865 "
2014-2015,Monash City Council,Metropolitan ," 32,121 "," 16,009 "," 16,009 "," 19,839 "," 19,839 "," 67,969 "," 35,848 "
2014-2015,Moonee Valley City Council,Metropolitan ," 23,552 "," 10,993 "," 10,255 "," 7,753 "," 7,698 "," 42,298 "," 17,953 "
2014-2015,Moreland City Council,Metropolitan ," 29,557 "," 16,012 "," 13,655 "," 8,485 "," 8,449 "," 54,054 "," 22,104 "
2014-2015,Mornington Peninsula Shire Council,Metropolitan ," 30,013 "," 22,140 "," 22,140 "," 7,486 "," 7,486 "," 59,639 "," 29,626 "
2014-2015,Nillumbik Shire Council,Metropolitan ," 6,184 "," 7,642 "," 7,642 "," 7,140 "," 7,140 "," 20,966 "," 14,782 "
2014-2015,Port Phillip City Council,Metropolitan ," 21,302 "," 11,222 "," 9,482 ", -   , -   ," 32,524 "," 9,482 "
2014-2015,Stonnington City Council,Metropolitan ," 24,347 "," 10,313 "," 10,138 "," 3,832 "," 3,832 "," 38,492 "," 13,970 "
2014-2015,Whitehorse City Council,Metropolitan ," 28,682 "," 17,571 "," 15,883 "," 12,880 "," 12,880 "," 59,133 "," 28,763 "
2014-2015,Whittlesea City Council,Metropolitan ," 39,457 "," 17,383 "," 15,089 "," 11,290 "," 11,290 "," 68,130 "," 26,379 "
2014-2015,Wyndham City Council,Metropolitan ," 41,834 "," 18,060 "," 18,060 "," 6,368 "," 6,368 "," 66,261 "," 24,427 "
2014-2015,Yarra City Council,Metropolitan ," 15,342 "," 9,092 "," 8,407 ", 347 , 347 ," 24,781 "," 8,754 "
2014-2015,Yarra Ranges Shire Council,Metropolitan ," 29,574 "," 16,922 "," 14,793 "," 9,388 "," 9,388 "," 55,884 "," 24,181 "
2015-2016,Banyule City Council,Metropolitan ," 20,700 "," 13,185 "," 12,315 "," 9,487 "," 9,487 "," 43,372 "," 21,802 "
2015-2016,Bayside City Council,Metropolitan ," 21,177 "," 11,354 "," 11,354 "," 9,973 "," 9,973 "," 42,503 "," 21,327 "
2015-2016,Boroondara City Council,Metropolitan ," 37,112 "," 18,559 "," 18,559 "," 16,861 "," 16,861 "," 72,532 "," 35,420 "
2015-2016,Brimbank City Council,Metropolitan ," 42,702 "," 16,760 "," 13,188 "," 10,147 "," 10,147 "," 69,609 "," 23,335 "
2015-2016,Cardinia Shire Council,Metropolitan ," 17,851 "," 8,815 "," 8,815 "," 6,042 "," 6,042 "," 32,708 "," 14,857 "
2015-2016,Casey City Council,Metropolitan ," 55,011 "," 27,314 "," 27,314 "," 31,140 "," 31,140 "," 113,465 "," 58,454 "
2015-2016,Darebin City Council,Metropolitan ," 26,865 "," 14,178 "," 12,193 "," 10,034 "," 10,034 "," 51,077 "," 22,227 "
2015-2016,Frankston City Council,Metropolitan ," 25,261 "," 15,600 "," 14,922 "," 12,684 "," 12,684 "," 53,545 "," 27,606 "
2015-2016,Glen Eira City Council,Metropolitan ," 31,015 "," 13,476 "," 13,476 "," 11,177 "," 11,177 "," 55,668 "," 24,653 "
2015-2016,Greater Dandenong City Council,Metropolitan ," 29,454 "," 12,456 "," 10,777 "," 13,043 "," 13,043 "," 54,953 "," 23,820 "
2015-2016,Hobsons Bay City Council,Metropolitan ," 18,848 "," 10,128 "," 9,476 "," 7,124 "," 7,124 "," 36,099 "," 16,599 "
2015-2016,Hume City Council,Metropolitan ," 44,222 "," 16,403 "," 14,764 "," 5,259 "," 5,259 "," 65,884 "," 20,023 "
2015-2016,Kingston City Council,Metropolitan ," 31,102 "," 15,162 "," 14,252 "," 13,757 "," 13,615 "," 60,021 "," 27,867 "
2015-2016,Knox City Council,Metropolitan ," 28,671 "," 16,482 "," 13,835 "," 17,744 "," 17,744 "," 62,897 "," 31,579 "
2015-2016,Manningham City Council,Metropolitan ," 21,687 "," 12,155 "," 12,155 "," 13,698 "," 13,698 "," 47,540 "," 25,853 "
2015-2016,Maribyrnong City Council,Metropolitan ," 18,556 "," 7,020 "," 7,020 "," 2,097 "," 2,097 "," 27,673 "," 9,117 "
2015-2016,Maroondah City Council,Metropolitan ," 20,700 "," 11,716 "," 10,138 "," 12,544 "," 12,544 "," 44,960 "," 22,682 "
2015-2016,Melbourne City Council,Metropolitan ," 21,052 "," 9,036 "," 8,105 ", 52 , 52 ," 30,139 "," 8,157 "
2015-2016,Melton Shire Council,Metropolitan ," 25,076 "," 11,775 "," 11,775 "," 9,763 "," 7,446 "," 46,614 "," 19,221 "
2015-2016,Monash City Council,Metropolitan ," 32,389 "," 14,999 "," 14,999 "," 17,882 "," 17,882 "," 65,270 "," 32,881 "
2015-2016,Moonee Valley City Council,Metropolitan ," 24,169 "," 11,304 "," 11,304 "," 7,501 "," 7,501 "," 42,974 "," 18,805 "
2015-2016,Moreland City Council,Metropolitan ," 30,425 "," 16,419 "," 13,574 "," 8,598 "," 8,598 "," 55,442 "," 22,172 "
2015-2016,Mornington Peninsula Shire Council,Metropolitan ," 30,692 "," 22,674 "," 22,674 "," 8,361 "," 8,361 "," 61,727 "," 31,035 "
2015-2016,Nillumbik Shire Council,Metropolitan ," 6,424 "," 7,486 "," 7,486 "," 7,013 "," 7,013 "," 20,923 "," 14,499 "
2015-2016,Port Phillip City Council,Metropolitan ," 21,458 "," 11,106 "," 9,784 ", -   , -   ," 32,564 "," 9,784 "
2015-2016,Stonnington City Council,Metropolitan ," 24,377 "," 10,150 "," 10,150 "," 3,238 "," 3,238 "," 37,765 "," 13,388 "
2015-2016,Whitehorse City Council,Metropolitan ," 28,773 "," 17,296 "," 16,156 "," 11,615 "," 11,615 "," 57,684 "," 27,771 "
2015-2016,Whittlesea City Council,Metropolitan ," 35,167 "," 16,614 "," 14,570 "," 11,590 "," 11,590 "," 63,371 "," 26,160 "
2015-2016,Wyndham City Council,Metropolitan ," 43,899 "," 18,716 "," 18,716 "," 6,518 "," 6,518 "," 69,133 "," 25,234 "
2015-2016,Yarra City Council,Metropolitan ," 15,777 "," 9,347 "," 8,596 ", 332 , 332 ," 25,456 "," 8,928 "
2015-2016,Yarra Ranges Shire Council,Metropolitan ," 29,943 "," 17,414 "," 16,265 "," 9,651 "," 9,651 "," 57,008 "," 25,916 "
2016-2017,Banyule City Council,Metropolitan ," 20,055 "," 12,028 "," 11,178 "," 11,062 "," 11,062 "," 43,145 "," 22,240 "
2016-2017,Bayside City Council,Metropolitan ," 20,370 "," 11,144 "," 11,144 "," 9,974 "," 9,974 "," 41,488 "," 21,118 "
2016-2017,Boroondara City Council,Metropolitan ," 39,756 "," 19,481 "," 16,832 "," 16,578 "," 16,578 "," 75,815 "," 33,410 "
2016-2017,Brimbank City Council,Metropolitan ," 43,242 "," 16,362 "," 14,120 "," 12,567 "," 12,567 "," 72,171 "," 26,687 "
2016-2017,Cardinia Shire Council,Metropolitan ," 18,666 "," 9,667 "," 9,667 "," 7,005 "," 7,005 "," 35,338 "," 16,672 "
2016-2017,Casey City Council,Metropolitan ," 56,512 "," 27,548 "," 27,548 "," 34,633 "," 34,633 "," 118,693 "," 62,180 "
2016-2017,Darebin City Council,Metropolitan ," 27,495 "," 14,072 "," 12,158 "," 11,300 "," 11,300 "," 52,867 "," 23,458 "
2016-2017,Frankston City Council,Metropolitan ," 25,354 "," 15,394 "," 14,724 "," 14,226 "," 14,226 "," 54,974 "," 28,950 "
2016-2017,Glen Eira City Council,Metropolitan ," 30,706 "," 13,225 "," 13,225 "," 12,381 "," 12,381 "," 56,312 "," 25,606 "
2016-2017,Greater Dandenong City Council,Metropolitan ," 29,097 "," 12,456 "," 10,777 "," 13,873 "," 13,873 "," 55,427 "," 24,650 "
2016-2017,Hobsons Bay City Council,Metropolitan ," 19,330 "," 9,486 "," 9,111 "," 8,184 "," 8,184 "," 37,000 "," 17,295 "
2016-2017,Hume City Council,Metropolitan ," 48,640 "," 14,724 "," 14,123 "," 5,688 "," 5,688 "," 69,052 "," 19,811 "
2016-2017,Kingston City Council,Metropolitan ," 30,635 "," 15,257 "," 14,189 "," 14,986 "," 14,836 "," 60,878 "," 29,025 "
2016-2017,Knox City Council,Metropolitan ," 28,782 "," 16,128 "," 13,515 "," 20,033 "," 20,033 "," 64,943 "," 33,548 "
2016-2017,Manningham City Council,Metropolitan ," 20,946 "," 11,362 "," 11,362 "," 15,764 "," 15,764 "," 48,072 "," 27,126 "
2016-2017,Maribyrnong City Council,Metropolitan ," 17,602 "," 7,528 "," 7,039 "," 2,097 "," 2,097 "," 27,227 "," 9,136 "
2016-2017,Maroondah City Council,Metropolitan ," 20,728 "," 11,576 "," 10,409 "," 13,695 "," 13,695 "," 45,999 "," 24,104 "
2016-2017,Melbourne City Council,Metropolitan ," 25,924 "," 9,533 "," 9,046 ", 89 , 89 ," 35,545 "," 9,135 "
2016-2017,Melton Shire Council,Metropolitan ," 28,522 "," 12,039 "," 12,039 "," 12,406 "," 12,406 "," 52,966 "," 24,445 "
2016-2017,Monash City Council,Metropolitan ," 32,382 "," 15,671 "," 15,671 "," 20,333 "," 20,333 "," 68,386 "," 36,004 "
2016-2017,Moonee Valley City Council,Metropolitan ," 24,457 "," 10,784 "," 10,784 "," 8,582 "," 8,582 "," 43,823 "," 19,366 "
2016-2017,Moreland City Council,Metropolitan ," 30,559 "," 16,545 "," 13,679 "," 10,011 "," 10,011 "," 57,115 "," 23,690 "
2016-2017,Mornington Peninsula Shire Council,Metropolitan ," 31,394 "," 23,155 "," 23,155 "," 9,575 "," 9,575 "," 64,124 "," 32,730 "
2016-2017,Nillumbik Shire Council,Metropolitan ," 7,473 "," 6,689 "," 6,689 "," 7,838 "," 7,838 "," 22,000 "," 14,527 "
2016-2017,Port Phillip City Council,Metropolitan ," 21,556 "," 10,586 "," 9,675 ", -   , -   ," 32,142 "," 9,675 "
2016-2017,Stonnington City Council,Metropolitan ," 22,275 "," 9,715 "," 9,302 "," 3,377 "," 3,377 "," 35,367 "," 12,679 "
2016-2017,Whitehorse City Council,Metropolitan ," 28,565 "," 17,570 "," 15,955 "," 13,251 "," 13,251 "," 59,386 "," 29,206 "
2016-2017,Whittlesea City Council,Metropolitan ," 35,194 "," 15,925 "," 13,475 "," 14,065 "," 14,065 "," 65,184 "," 27,540 "
2016-2017,Wyndham City Council,Metropolitan ," 45,511 "," 20,994 "," 18,356 "," 8,491 "," 8,491 "," 74,996 "," 26,847 "
2016-2017,Yarra City Council,Metropolitan ," 15,678 "," 9,350 "," 8,777 ", 442 , 442 ," 25,470 "," 9,219 "
2016-2017,Yarra Ranges Shire Council,Metropolitan ," 30,400 "," 17,239 "," 16,101 "," 11,383 "," 11,383 "," 59,022 "," 27,484 "
2017-2018,Banyule City Council,Metropolitan ," 21,349 "," 12,881 "," 12,202 "," 9,977 "," 9,977 "," 44,207 "," 22,179 "
2017-2018,Bayside City Council,Metropolitan ," 20,957 "," 10,931 "," 9,550 "," 10,401 "," 10,401 "," 42,289 "," 19,951 "
2017-2018,Boroondara City Council,Metropolitan ," 35,732 "," 17,796 "," 15,376 "," 16,673 "," 16,673 "," 70,201 "," 32,049 "
2017-2018,Brimbank City Council,Metropolitan ," 42,742 "," 16,094 "," 13,875 "," 11,550 "," 11,550 "," 70,386 "," 25,425 "
2017-2018,Cardinia Shire Council,Metropolitan ," 18,843 "," 10,048 "," 8,942 "," 7,080 "," 7,080 "," 35,971 "," 16,023 "
2017-2018,Casey City Council,Metropolitan ," 58,557 "," 27,851 "," 24,868 "," 32,954 "," 32,954 "," 119,362 "," 57,822 "
2017-2018,Darebin City Council,Metropolitan ," 26,133 "," 14,571 "," 13,305 "," 10,710 "," 10,710 "," 51,414 "," 24,015 "
2017-2018,Frankston City Council,Metropolitan ," 25,253 "," 15,173 "," 14,513 "," 13,630 "," 13,630 "," 54,056 "," 28,143 "
2017-2018,Glen Eira City Council,Metropolitan ," 29,979 "," 12,764 "," 11,397 "," 11,502 "," 11,502 "," 54,245 "," 22,899 "
2017-2018,Greater Dandenong City Council,Metropolitan ," 29,799 "," 12,519 "," 10,803 "," 12,694 "," 12,694 "," 55,011 "," 23,497 "
2017-2018,Hobsons Bay City Council,Metropolitan ," 19,272 "," 9,176 "," 8,807 "," 7,411 "," 7,411 "," 35,859 "," 16,218 "
2017-2018,Hume City Council,Metropolitan ," 46,344 "," 17,185 "," 15,307 "," 7,869 "," 7,869 "," 71,398 "," 23,176 "
2017-2018,Kingston City Council,Metropolitan ," 28,789 "," 15,200 "," 13,572 "," 14,816 "," 14,813 "," 58,805 "," 28,385 "
2017-2018,Knox City Council,Metropolitan ," 28,508 "," 15,468 "," 12,374 "," 18,277 "," 18,277 "," 62,253 "," 30,651 "
2017-2018,Manningham City Council,Metropolitan ," 20,535 "," 12,014 "," 11,281 "," 15,095 "," 15,095 "," 47,644 "," 26,375 "
2017-2018,Maribyrnong City Council,Metropolitan ," 19,300 "," 7,428 "," 6,938 "," 2,289 "," 2,289 "," 29,017 "," 9,227 "
2017-2018,Maroondah City Council,Metropolitan ," 20,327 "," 11,225 "," 9,780 "," 12,710 "," 12,710 "," 44,262 "," 22,490 "
2017-2018,Melbourne City Council,Metropolitan ," 29,316 "," 10,719 "," 9,646 ", 124 , 124 ," 40,160 "," 9,770 "
2017-2018,Melton Shire Council,Metropolitan ," 27,200 "," 12,100 "," 10,722 "," 9,800 "," 9,800 "," 49,100 "," 20,522 "
2017-2018,Monash City Council,Metropolitan ," 32,486 "," 14,597 "," 14,159 "," 19,030 "," 19,030 "," 66,113 "," 33,189 "
2017-2018,Moonee Valley City Council,Metropolitan ," 24,950 "," 10,691 "," 9,237 "," 7,347 "," 7,347 "," 42,989 "," 16,585 "
2017-2018,Moreland City Council,Metropolitan ," 30,393 "," 16,214 "," 13,932 "," 8,863 "," 8,863 "," 55,470 "," 22,795 "
2017-2018,Mornington Peninsula Shire Council,Metropolitan ," 31,776 "," 22,966 "," 20,506 "," 12,321 "," 12,321 "," 67,063 "," 32,827 "
2017-2018,Nillumbik Shire Council,Metropolitan ," 7,786 "," 6,852 "," 5,991 "," 6,788 "," 6,788 "," 21,426 "," 12,779 "
2017-2018,Port Phillip City Council,Metropolitan ," 21,014 "," 9,756 "," 8,628 ", -   , -   ," 30,770 "," 8,628 "
2017-2018,Stonnington City Council,Metropolitan ," 22,095 "," 9,315 "," 8,296 "," 3,495 "," 3,495 "," 34,905 "," 11,791 "
2017-2018,Whitehorse City Council,Metropolitan ," 28,223 "," 15,857 "," 14,810 "," 12,711 "," 12,711 "," 56,791 "," 27,521 "
2017-2018,Whittlesea City Council,Metropolitan ," 45,489 "," 13,488 "," 10,618 "," 13,064 "," 13,064 "," 72,041 "," 23,682 "
2017-2018,Wyndham City Council,Metropolitan ," 47,200 "," 18,092 "," 16,154 "," 8,129 "," 8,129 "," 73,421 "," 24,283 "
2017-2018,Yarra City Council,Metropolitan ," 15,452 "," 9,150 "," 8,546 ", 487 , 487 ," 25,089 "," 9,033 "
2017-2018,Yarra Ranges Shire Council,Metropolitan ," 30,154 "," 17,045 "," 15,920 "," 11,273 "," 11,273 "," 58,472 "," 27,193 "
2018-2019,Banyule City Council,Metropolitan ," 20,742 "," 11,729 "," 10,955 "," 9,064 "," 9,064 "," 41,535 "," 20,019 "
2018-2019,Bayside City Council,Metropolitan ," 20,131 "," 10,710 "," 9,521 "," 10,295 "," 10,295 "," 41,136 "," 19,816 "
2018-2019,Boroondara City Council,Metropolitan ," 35,798 "," 21,245 "," 19,006 "," 15,416 "," 15,416 "," 72,459 "," 34,421 "
2018-2019,Brimbank City Council,Metropolitan ," 42,742 "," 16,706 "," 12,805 "," 11,156 "," 11,156 "," 70,604 "," 23,961 "
2018-2019,Cardinia Shire Council,Metropolitan ," 19,852 "," 9,459 "," 8,521 "," 7,256 "," 7,256 "," 36,567 "," 15,777 "
2018-2019,Casey City Council,Metropolitan ," 61,906 "," 27,111 "," 25,362 "," 32,039 "," 32,039 "," 121,056 "," 57,401 "
2018-2019,Darebin City Council,Metropolitan ," 25,826 "," 13,388 "," 12,049 "," 12,343 "," 12,343 "," 51,557 "," 24,392 "
2018-2019,Frankston City Council,Metropolitan ," 24,796 "," 14,942 "," 14,292 "," 13,550 "," 13,550 "," 53,288 "," 27,842 "
2018-2019,Glen Eira City Council,Metropolitan ," 27,933 "," 12,436 "," 11,114 "," 11,575 "," 11,575 "," 51,944 "," 22,689 "
2018-2019,Greater Dandenong City Council,Metropolitan ," 29,222 "," 13,193 "," 11,762 "," 12,346 "," 12,346 "," 54,762 "," 24,108 "
2018-2019,Hobsons Bay City Council,Metropolitan ," 19,565 "," 8,281 "," 7,940 "," 6,702 "," 6,702 "," 34,548 "," 14,642 "
2018-2019,Hume City Council,Metropolitan ," 47,386 "," 15,083 "," 13,280 "," 7,408 "," 7,408 "," 69,877 "," 20,688 "
2018-2019,Kingston City Council,Metropolitan ," 28,765 "," 14,445 "," 12,929 "," 14,074 "," 14,069 "," 57,284 "," 26,998 "
2018-2019,Knox City Council,Metropolitan ," 28,032 "," 15,034 "," 14,042 "," 18,090 "," 18,090 "," 61,156 "," 32,132 "
2018-2019,Manningham City Council,Metropolitan ," 19,649 "," 10,513 "," 9,835 "," 14,045 "," 14,045 "," 44,207 "," 23,881 "
2018-2019,Maribyrnong City Council,Metropolitan ," 18,705 "," 7,234 "," 6,607 "," 1,983 "," 1,983 "," 27,922 "," 8,590 "
2018-2019,Maroondah City Council,Metropolitan ," 20,123 "," 11,010 "," 9,790 "," 12,293 "," 12,293 "," 43,426 "," 22,083 "
2018-2019,Melbourne City Council,Metropolitan ," 30,183 "," 11,510 "," 10,129 ", 98 , 98 ," 41,790 "," 10,227 "
2018-2019,Melton Shire Council,Metropolitan ," 30,000 "," 12,200 "," 10,220 "," 7,000 "," 7,000 "," 49,200 "," 17,220 "
2018-2019,Monash City Council,Metropolitan ," 31,697 "," 14,378 "," 13,371 "," 17,668 "," 17,668 "," 63,743 "," 31,039 "
2018-2019,Moonee Valley City Council,Metropolitan ," 24,081 "," 9,891 "," 9,239 "," 6,918 "," 6,918 "," 40,890 "," 16,157 "
2018-2019,Moreland City Council,Metropolitan ," 29,571 "," 15,412 "," 14,395 "," 7,771 "," 7,771 "," 52,754 "," 22,166 "
2018-2019,Mornington Peninsula Shire Council,Metropolitan ," 31,049 "," 18,460 "," 15,618 "," 13,285 "," 13,285 "," 62,794 "," 28,902 "
2018-2019,Nillumbik Shire Council,Metropolitan ," 8,059 "," 5,438 "," 4,699 "," 6,234 "," 6,234 "," 19,731 "," 10,933 "
2018-2019,Port Phillip City Council,Metropolitan ," 20,700 "," 8,529 "," 7,676 ", -   , -   ," 29,229 "," 7,676 "
2018-2019,Stonnington City Council,Metropolitan ," 20,650 "," 7,717 "," 6,893 "," 3,377 "," 3,377 "," 31,744 "," 10,270 "
2018-2019,Whitehorse City Council,Metropolitan ," 27,288 "," 15,334 "," 14,322 "," 12,458 "," 12,458 "," 55,080 "," 26,780 "
2018-2019,Whittlesea City Council,Metropolitan ," 54,408 "," 15,339 "," 12,483 "," 11,762 "," 11,762 "," 81,509 "," 24,245 "
2018-2019,Wyndham City Council,Metropolitan ," 48,477 "," 18,200 "," 16,999 "," 7,817 "," 7,817 "," 74,494 "," 24,816 "
2018-2019,Yarra City Council,Metropolitan ," 14,428 "," 8,070 "," 7,021 ", 540 , 540 ," 23,038 "," 7,561 "
2018-2019,Yarra Ranges Shire Council,Metropolitan ," 29,308 "," 16,782 "," 15,677 "," 11,544 "," 11,544 "," 57,634 "," 27,221 "
